Parametro,Valor_base,NSE_base,NSE_+20%,NSE_-20%,Sensibilidad
beta,0.9317130667042948,0.050448770545413746,-2.978938644061879,-21.72663433420269,50.30437041217034
k2,0.0024021406179345,0.050448770545413746,0.051163213758944726,0.04903250038915319,2.217515238162502
k1,0.0585441778404809,0.050448770545413746,0.050876846015394994,0.0469630397833235,0.16713046354223696
alpha2,0.7600996011176994,0.050448770545413746,0.05297516793705903,0.033419947241158154,0.06431795473627937
D1,101.3923536414362,0.050448770545413746,0.050448770545413746,0.050448770545413746,0.0
alpha1,0.0,0.050448770545413746,0.050448770545413746,0.050448770545413746,0.0
ETc,0.0,0.050448770545413746,0.050448770545413746,0.050448770545413746,0.0
D2,408.7508850846575,0.050448770545413746,0.050448770545413746,0.050448770545413746,0.0
